,Unnamed: 0,response,knowledge,Q2
0,0," Miss grey has received a call from david brown.
"," Miss grey received a phone call from david brown when mr blank was not in his office.
",0.9166666666666666
1,1," Mr. blank informed miss grey that he had received a call from david brown.
"," The listener tries to recall if he knows mr. brown personally.
",0.0
2,2," Mr. blank informed miss grey that he had received a call from david brown.
"," The listener tries to recall if he knows mr. brown personally.
",0.0
3,3," Miss grey is curious to know about david brown.
"," Mr blank is curious to know what message mr david has passed.
",0.0
4,4," Mr.blank had a call from david brown.
"," David brown has an important work with mr blank.
",0.0
5,5," Mr. blank told mrs. grey that he would call david brown as soon as she got back.
"," Miss grey gave the number to mr blank.
",0.0
6,6," Miss grey informed mr. blank that she would call david brown as soon as she got back.
"," Miss grey gave the number to mr blank.
",0.3333333333333333
7,7," Mr. blank is curious to know mrs. grey's contact number.
"," Mr blank is eager to know whether mis grey has noted david brown's number or not.
",0.5833333333333334
8,8," Mr.blank has a pen and paper with him.
"," Miss grey told mr david that he will give him a call.
",0.0
9,9," Mr. blank notes down mrs. grey's contact number.
"," Mr blank checked the number with miss grey.
",0.16666666666666669
10,10," Mr. blank notes down mrs. grey's contact number.
"," Mr blank checked the number with miss grey.
",0.16666666666666669
11,11," Miss grey is worried about forgetting the number of david brown.
"," Mr blank is eager to write the number in his diary as he may forget it.
",0.0
12,12," Mr. blank has a pen and paper on his desk.
"," As soon as miss grey received a call from mr blank he noted david brown's number and stuck to mr blanks's table
",0.0
13,13," Mr. blank notes down mrs. grey's contact number.
"," Mr blank called david brown and talked with him.
",0.0
14,14," Mr. blank notes down mrs. grey's contact number.
"," Mr blank called david brown and talked with him.
",0.0
15,15," Mr. blank is happy to know that mrs. grey has written down david brown's contact number.
"," Mr blank is impressed by miss grey as she has noted down the number and stuck it to his table.
",0.25
16,16," The speaker is interested in classical music.
"," The speaker is curious to know about the listener's taste in music.
",0.125
17,17," The speaker asked the listener about his favourite music.
"," The speaker listens to music all the time and practices it too.
",0.0
18,18," The speaker informed the listener that his wife is fond of rock music.
"," The speaker stated that he enjoys listening music with his wife whenever he gets the time.
",0.3333333333333333
19,19," The speaker shows his collection of albums to the listener.
"," The speaker stated that he enjoys listening music with his wife whenever he gets the time.
",0.0
20,20," The speaker's wife is a professional violinist.
"," The speaker's wife is learning music since early childhood.
",0.0
21,21," The speaker shows his wife's violin to the listener.
"," The speaker invited the listener to his home on weekend to show her wife's skills.
",0.3333333333333333
22,22," The speaker shows his wife's violin to the listener.
"," The speaker invited the listener to his home on weekend to show her wife's skills.
",0.3333333333333333
23,23," The speaker's wife plays the violin.
"," The speaker has never seen her wife play the violin.
",0.0
24,24," The speaker invites the listener to his house for the party.
"," The speaker stated that he has a keen interest in violin.
",0.0
25,25," The speaker shows his wife's violin to the listener.
"," The speaker stated that he has a keen interest in violin.
",0.037037037037037035
26,26," The speaker and his wife are friends.
"," The speaker is throwing a wedding anniversary party this weekend.
",0.0
27,27," The speaker invites the listener to his house for the party.
"," The speaker visited the listener's home over the weekend and enjoyed the performance of the speaker's wife playing the violin.
",0.0
28,28," The speaker invites the listener to his house for the party.
"," The speaker visited the listener's home over the weekend and enjoyed the performance of the speaker's wife playing the violin.
",0.0
29,29," The listener is excited to meet the speaker.
"," The listener is happy to invite the speaker to his wedding anniversary party.
",0.0
30,30," The listener asked the speaker if she was ready to visit her grandmother in springfield.
"," The speaker had been sketching a picture of her grandma to gift her for many days.
",0.0
31,31," The speaker shows the listener the picture that he drew for his grandmother.
"," The speaker handed over the picture to the listener.
",0.3333333333333333
32,32," The speaker shows the picture of his grandmother to the listener.
"," The speaker handed over the picture to the listener.
",0.25
33,33," The listener asked the speaker about the picture that he drew for his grandmother.
"," The speaker was fond of sketching pictures since childhood.
",0.0
34,34," The speaker shows the listener the picture that he drew for his grandmother.
"," The speaker framed the sketch in a wooden frame and kept it in a box.
",0.0
35,35," The speaker shows the listener the picture that he drew for his grandmother.
"," The speaker framed the sketch in a wooden frame and kept it in a box.
",0.0
36,36," The speaker's grandmother is fond of cakes.
"," The listener's grandma has seen the artwork of the listener.
",0.0
37,37," The speaker shows the picture of her grandmother to the listener.
"," The listener suggested the speaker to reach the grandmother's house and make a cake without eggs.
",0.0
38,38," The listener shows his grandmother the picture that he drew for her.
"," The listener suggested the speaker to reach the grandmother's house and make a cake without eggs.
",0.0
39,39," The listener is happy to know that her mother has made a beautiful cake for her grandmother.
"," The speaker is regretful as she could not bake a cake for her grandma.
",0.0
40,40," The listener asked the speaker if he knew the time.
"," The speaker takes the appointment with the professor at 2:00 clock
",0.0
41,41," The speaker has to attend a meeting with professor smith.
"," The speaker wants to meet the professor seek guidance on the project and lessons
",0.5555555555555555
42,42," The speaker told the listener that he had to attend a meeting with professor smith.
"," The speaker stated the listener to carry on with the project.
",0.0
43,43," The speaker went to his car and drove to his office.
"," The speaker stated the listener to carry on with the project.
",0.0
44,44," The speaker is eager to meet professor smith.
"," The speaker is eager to meet the professor to get the desired tips on the projects and lessons
",0.8333333333333333
45,45," Professor smith has a meeting with linda at 2 pm.
"," The speaker has already booked an appointment with the professor at 2:10 pm
",0.125
46,46," Professor smith will brief linda about michael's project.
"," The speaker left the project discussion and he went to the library.
",0.0
47,47," Professor smith will brief linda about michael's project.
"," The speaker left the project discussion and he went to the library.
",0.0
48,48," The speaker is eager to meet professor smith.
"," The speaker is looking forward to meeting professor smith & wishes not to be late for the same.
",1.0
49,49," The listener is happy to continue the project discussion with michael.
"," The listener is hopeful of meeting professor smith.
",0.0
50,50," The speaker wants to help the listener.
"," The speaker is offering help to the listener.
",1.0
51,51," The speaker went to the market to buy oranges.
"," The customer is on a fruit diet and needs to buy some fruits for having breakfast.
",0.0
52,52," The listener asks the speaker if he needs anything else apart from the oranges.
"," The listener shows the speaker two varieties of oranges so that he can select between them.
",0.0
53,53," The listener asks the speaker about the price of the oranges.
"," The listener shows the speaker two varieties of oranges so that he can select between them.
",0.0
54,54," The speaker is interested in buying oranges.
"," Oranges are speakers favourite fruits.
",0.1111111111111111
55,55," The listener asked the speaker if he wanted to buy florida or californias.
"," The listener was not able to differentiate between florida and california oranges.
",0.25
56,56," The listener asks the speaker about the variety of oranges available in the shop.
"," The listener asked if there was any difference in price between the two.
",0.0
57,57," The listener asks the speaker about the price of the californian oranges.
"," The listener asked if there was any difference in price between the two.
",0.07142857142857142
