,response,knowledge
0," Miss grey has received a call from david brown.
"," Miss grey received a phone call from david brown when mr blank was not in his office.
"
1," Mr. blank informed miss grey that he had received a call from david brown.
"," The listener tries to recall if he knows mr. brown personally.
"
2," Mr. blank informed miss grey that he had received a call from david brown.
"," The listener tries to recall if he knows mr. brown personally.
"
3," Miss grey is curious to know about david brown.
"," Mr blank is curious to know what message mr david has passed.
"
4," Mr.blank had a call from david brown.
"," David brown has an important work with mr blank.
"
5," Mr. blank told mrs. grey that he would call david brown as soon as she got back.
"," Miss grey gave the number to mr blank.
"
6," Miss grey informed mr. blank that she would call david brown as soon as she got back.
"," Miss grey gave the number to mr blank.
"
7," Mr. blank is curious to know mrs. grey's contact number.
"," Mr blank is eager to know whether mis grey has noted david brown's number or not.
"
8," Mr.blank has a pen and paper with him.
"," Miss grey told mr david that he will give him a call.
"
9," Mr. blank notes down mrs. grey's contact number.
"," Mr blank checked the number with miss grey.
"
10," Mr. blank notes down mrs. grey's contact number.
"," Mr blank checked the number with miss grey.
"
11," Miss grey is worried about forgetting the number of david brown.
"," Mr blank is eager to write the number in his diary as he may forget it.
"
12," Mr. blank has a pen and paper on his desk.
"," As soon as miss grey received a call from mr blank he noted david brown's number and stuck to mr blanks's table
"
13," Mr. blank notes down mrs. grey's contact number.
"," Mr blank called david brown and talked with him.
"
14," Mr. blank notes down mrs. grey's contact number.
"," Mr blank called david brown and talked with him.
"
15," Mr. blank is happy to know that mrs. grey has written down david brown's contact number.
"," Mr blank is impressed by miss grey as she has noted down the number and stuck it to his table.
"
16," The speaker is interested in classical music.
"," The speaker is curious to know about the listener's taste in music.
"
17," The speaker asked the listener about his favourite music.
"," The speaker listens to music all the time and practices it too.
"
18," The speaker informed the listener that his wife is fond of rock music.
"," The speaker stated that he enjoys listening music with his wife whenever he gets the time.
"
19," The speaker shows his collection of albums to the listener.
"," The speaker stated that he enjoys listening music with his wife whenever he gets the time.
"
20," The speaker's wife is a professional violinist.
"," The speaker's wife is learning music since early childhood.
"
21," The speaker shows his wife's violin to the listener.
"," The speaker invited the listener to his home on weekend to show her wife's skills.
"
22," The speaker shows his wife's violin to the listener.
"," The speaker invited the listener to his home on weekend to show her wife's skills.
"
23," The speaker's wife plays the violin.
"," The speaker has never seen her wife play the violin.
"
24," The speaker invites the listener to his house for the party.
"," The speaker stated that he has a keen interest in violin.
"
25," The speaker shows his wife's violin to the listener.
"," The speaker stated that he has a keen interest in violin.
"
26," The speaker and his wife are friends.
"," The speaker is throwing a wedding anniversary party this weekend.
"
27," The speaker invites the listener to his house for the party.
"," The speaker visited the listener's home over the weekend and enjoyed the performance of the speaker's wife playing the violin.
"
28," The speaker invites the listener to his house for the party.
"," The speaker visited the listener's home over the weekend and enjoyed the performance of the speaker's wife playing the violin.
"
29," The listener is excited to meet the speaker.
"," The listener is happy to invite the speaker to his wedding anniversary party.
"
30," The listener asked the speaker if she was ready to visit her grandmother in springfield.
"," The speaker had been sketching a picture of her grandma to gift her for many days.
"
31," The speaker shows the listener the picture that he drew for his grandmother.
"," The speaker handed over the picture to the listener.
"
32," The speaker shows the picture of his grandmother to the listener.
"," The speaker handed over the picture to the listener.
"
33," The listener asked the speaker about the picture that he drew for his grandmother.
"," The speaker was fond of sketching pictures since childhood.
"
34," The speaker shows the listener the picture that he drew for his grandmother.
"," The speaker framed the sketch in a wooden frame and kept it in a box.
"
35," The speaker shows the listener the picture that he drew for his grandmother.
"," The speaker framed the sketch in a wooden frame and kept it in a box.
"
36," The speaker's grandmother is fond of cakes.
"," The listener's grandma has seen the artwork of the listener.
"
