,id,response,knowledge,Q2_no_nli,Q2
0,0, Miss grey has received a call from mr. brown., Miss grey received a phone call from david brown when mr blank was not in his office.,0.5416666666666666,0.5
1,1, Mr. Blank told mrs. grey that he had received a call from david brown., The listener tries to recall if he knows mr. brown personally.,0.0,0.0
2,2, Mr. Blank told mrs. grey that he had received a call from david brown., The listener tries to recall if he knows mr. brown personally.,0.0,0.0
3,3, Miss grey is curious to know about david brown., Mr blank is curious to know what message mr david has passed.,0.0,0.0
4,4, Mr. Blank had a call with mrs. grey., David brown has an important work with mr blank.,0.0,0.0
5,5, Mrs. grey told mr. blanks that she had a call from david brown., Miss grey gave the number to mr blank.,0.16666666666666666,0.3333333333333333
6,6, Mr. Blank told mrs. grey that he would call mr. brown as soon as he got back., Miss grey gave the number to mr blank.,0.0,0.0
7,7, Miss grey is curious to know mr. Blank's contact number., Mr blank is eager to know whether mis grey has noted david brown's number or not.,0.0,0.0
8,8, Mr. Blank has already written down mrs. grey's contact number., Miss grey told mr david that he will give him a call.,0.0,0.0
9,9, Mr. Blank writes down mrs. grey's contact number., Mr blank checked the number with miss grey.,0.0,0.0
10,10, Mr. Blank writes down mrs. grey's contact number., Mr blank checked the number with miss grey.,0.0,0.0
11,11, Miss grey is concerned about mr. Blank's phone number., Mr blank is eager to write the number in his diary as he may forget it.,0.0,0.0
12,12, Mr. Blank has already written down mrs. grey's number., As soon as miss grey received a call from mr blank he noted david brown's number and stuck to mr blanks's table,0.0,0.0
13,13, Mr. Blank writes down mrs. grey's contact number., Mr blank called david brown and talked with him.,0.0,0.0
14,14, Mr. Blank writes down mrs. grey's contact number., Mr blank called david brown and talked with him.,0.0,0.0
15,15, Miss grey will feel relieved that mr. Blank will get the call as soon as possible., Mr blank is impressed by miss grey as she has noted down the number and stuck it to his table.,0.3333333333333333,0.3333333333333333
16,16, The speaker is interested in classical music., The speaker is curious to know about the listener's taste in music.,0.125,0.125
17,17, The listener asked the speaker about his taste in music., The speaker listens to music all the time and practices it too.,0.25,0.25
18,18, The speaker shows his collection of classical and rock music albums to the listener., The speaker stated that he enjoys listening music with his wife whenever he gets the time.,0.0,0.0
19,19, The speaker shows his collection of classical and rock music albums to the listener., The speaker stated that he enjoys listening music with his wife whenever he gets the time.,0.0,0.0
20,20, The speaker's wife plays the piano., The speaker's wife is learning music since early childhood.,0.0,0.0
21,21, The speaker informed the listener that his wife plays the piano., The speaker invited the listener to his home on weekend to show her wife's skills.,0.0,0.0
22,22, The speaker informed the listener that his wife also plays the violin., The speaker invited the listener to his home on weekend to show her wife's skills.,0.0357142857142857,0.0357142857142857
23,23, The speaker's wife is good at playing the violin., The speaker has never seen her wife play the violin.,0.0,0.0
24,24, The speaker invites his wife to the party., The speaker stated that he has a keen interest in violin.,0.0,0.0
25,25, The speaker's wife plays the violin., The speaker stated that he has a keen interest in violin.,0.0,0.0
26,26, The speaker and his wife are friends., The speaker is throwing a wedding anniversary party this weekend.,0.0,0.0
27,27, The speaker invites the listener to the party., The speaker visited the listener's home over the weekend and enjoyed the performance of the speaker's wife playing the violin.,0.0,0.0
